Company,Date,Close/Last,Volume,Open,High,Low
tesla,07/17/2024,$248.50,115584800,$252.73,$258.47,$246.182
tesla,07/16/2024,$256.56,126332500,$255.31,$258.62,$245.8001
tesla,07/15/2024,$252.64,146912900,$255.97,$265.60,$251.73
tesla,07/12/2024,$248.23,155955800,$235.80,$251.84,$233.0912
tesla,07/11/2024,$241.03,221707300,$263.30,$271.00,$239.65
tesla,07/10/2024,$263.26,128519400,$262.80,$267.59,$257.86
tesla,07/09/2024,$262.33,160742500,$251.00,$265.61,$250.30
tesla,07/08/2024,$252.94,157219600,$247.71,$259.439,$244.57
tesla,07/05/2024,$251.52,154501200,$249.81,$252.37,$242.4601
tesla,07/03/2024,$246.39,166561500,$234.56,$248.35,$234.25
tesla,07/02/2024,$231.26,205047900,$218.89,$231.30,$218.06
tesla,07/01/2024,$209.86,135691400,$201.02,$213.23,$200.85
tesla,06/28/2024,$197.88,95438070,$199.55,$203.20,$195.26
tesla,06/27/2024,$197.42,72746520,$195.17,$198.72,$194.05
tesla,06/26/2024,$196.37,95737070,$186.54,$197.755,$186.36
tesla,06/25/2024,$187.35,63678270,$184.40,$187.97,$182.01
tesla,06/24/2024,$182.58,61992070,$184.97,$188.80,$182.55
tesla,06/21/2024,$183.01,63029480,$182.30,$183.95,$180.69
tesla,06/20/2024,$181.57,55893140,$184.68,$185.21,$179.66
tesla,06/18/2024,$184.86,68982270,$186.56,$187.20,$182.37
tesla,06/17/2024,$187.44,109786100,$177.92,$188.81,$177.00
tesla,06/14/2024,$178.01,82038190,$185.80,$186.00,$176.92
tesla,06/13/2024,$182.47,118984100,$188.39,$191.08,$181.23
tesla,06/12/2024,$177.29,90389450,$171.12,$180.55,$169.80
tesla,06/11/2024,$170.66,64761930,$173.92,$174.75,$167.41
tesla,06/10/2024,$173.79,50869680,$176.06,$178.57,$173.17
tesla,06/07/2024,$177.48,56244930,$176.13,$179.35,$175.58
tesla,06/06/2024,$177.94,69887020,$174.60,$179.73,$172.73
tesla,06/05/2024,$175.00,57953760,$175.35,$176.15,$172.13
tesla,06/04/2024,$174.77,60056340,$174.775,$177.755,$174.00
tesla,06/03/2024,$176.29,68568920,$178.13,$182.6389,$174.49
tesla,05/31/2024,$178.08,67314600,$178.50,$180.32,$173.82
tesla,05/30/2024,$178.79,77784760,$178.575,$182.67,$175.38
tesla,05/29/2024,$176.19,54782650,$174.19,$178.15,$173.93
tesla,05/28/2024,$176.75,59736620,$176.40,$178.25,$173.16
tesla,05/24/2024,$179.24,65584480,$174.835,$180.08,$173.73
tesla,05/23/2024,$173.74,71975500,$181.80,$181.90,$173.26
tesla,05/22/2024,$180.11,88313480,$182.85,$183.80,$178.12
tesla,05/21/2024,$186.60,115266500,$175.51,$186.875,$174.71
tesla,05/20/2024,$174.95,61727430,$177.56,$177.754,$173.52
tesla,05/17/2024,$177.46,77445850,$173.55,$179.63,$172.75
tesla,05/16/2024,$174.84,59812220,$174.10,$175.79,$171.43
tesla,05/15/2024,$173.99,79662990,$179.90,$180.00,$173.11
tesla,05/14/2024,$177.55,86407420,$174.496,$179.49,$174.07
tesla,05/13/2024,$171.89,67018900,$170.00,$175.40,$169.00
tesla,05/10/2024,$168.47,72627180,$173.05,$173.0599,$167.75
tesla,05/09/2024,$171.97,65950290,$175.01,$175.62,$171.37
tesla,05/08/2024,$174.72,79969490,$171.59,$176.06,$170.15
tesla,05/07/2024,$177.81,75045850,$182.40,$183.26,$177.40
tesla,05/06/2024,$184.76,84390250,$183.80,$187.56,$182.20
tesla,05/03/2024,$181.19,75491540,$182.10,$184.78,$178.42
tesla,05/02/2024,$180.01,89148040,$182.86,$184.60,$176.02
tesla,05/01/2024,$179.99,92829720,$182.00,$185.86,$179.01
tesla,04/30/2024,$183.28,127031800,$186.98,$190.95,$182.8401
